,Bacteroidetes,Firmicutes,Actinobacteria,Tenericutes,Proteobacteria,Verrucomicrobia,Cyanobacteria,,,,,,,,,,,,,,,,,,,
,Violin,Bassoon,Oboe,Viola,Clarinet,Flute,Horn,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,29.23%,64.32%,2.92%,2.51%,0.97%,0.00%,0.04%,,,,,,,,,,,,,,,,,,,
2,23.47%,65.02%,7.03%,3.71%,0.73%,0.00%,0.02%,,,,,,,,,,,,,,,,,,,
3,25.28%,64.80%,6.33%,2.84%,0.74%,0.00%,0.01%,,,,,,,,,,,,,,,,,,,
4,0.00%,5.46%,14.41%,0.00%,71.65%,0.00%,8.47%,,,,,,,,,,,,,,,,,,,
5,26.36%,65.16%,7.86%,0.46%,0.14%,0.00%,0.02%,,,,,,,,,,,,,,,,,,,
6,26.40%,64.39%,7.66%,1.23%,0.29%,0.00%,0.03%,,,,,,,,,,,,,,,,,,,
7,48.55%,45.61%,1.94%,1.92%,1.98%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
8,14.64%,75.10%,3.95%,5.55%,0.74%,0.00%,0.02%,,,,,,,,,,,,,,,,,,,
9,12.78%,68.74%,7.57%,9.36%,1.56%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
10,22.13%,62.57%,9.37%,5.01%,0.93%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
11,10.94%,74.03%,10.42%,4.20%,0.41%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
12,31.09%,56.28%,8.77%,3.64%,0.22%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
13,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
14,42.68%,48.40%,4.52%,1.84%,2.47%,0.00%,0.09%,,,,,,,,,,,,,,,,,,,
15,23.38%,66.83%,5.50%,4.00%,0.29%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
16,34.04%,59.65%,1.61%,3.03%,1.64%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
